content,score
aplikasi ga guna mau registrasi aja error terus buang-buang waktu,1
berasa tidak berfungsi...,2
aplikasi gajelassss sering erorr,1
lumayan bagus,5
"setelah update, malah ga bisa login. mohon diperbaiki! Terima kasih",1
terimakasih atas aplikasinya semoga bermanfaat,5
very good for conection and karier,5
"aplikasi rusak, gak bisa login, gausah download!",1
"Aplikasinya bagus,..",5
⭐⭐⭐⭐⭐ Awesome,5
tidak biss login,5
"heran, mau daftar baru aja sampe di pemeriksaan tapi muter² mulu. padahal sinyal udah bagus, apk baru di download",1
"Valid, Menarik",5
sangat membantu dunia kerja,5
siiip,5
Aplikasi yg sangat bermanfaat ketimbang sosmed lainnya,5
"ga bisa login, stuck di periksa keamanan cepat",2
aplikasi sangat susah masuk bila sering ganti handphone. walaupun sudah ganti sandi dengan email yg sdh ada,2
"Terimakasih Linkedln, Sebagai Wadah Informasi Lowongan pekerjaan.",5
knapa muter terus di pemeriksaan dengan cepat,1
sangat membantu,5
bagus,5
aplikasi yang bagus membuat kita bisa memiliki banyak koneksi untuk mencari kerja.,5
bagus,5
good keep improve,3
Tdk Berkualitas,1
"gak bisa login/daftar, muter di verifikasi keamanan",1
"APLIKASI ERROR, TIDAK BISA MASUK, STUCK DI PEMERIKSAAN KEAMANAN CEPAT",1
👍,5
"mas / mba : maaff kih sedurunge sing bener bae masa dau wingi di perbaharui, kien ws jaluk di perbaharui maning iyaa dongdak ya kuota reangee...",3
"selalu ngestuck sesudah login, pada saat di verifikasi keamanan selalu loading ga berenti",3
"uda bbrp hari ini nyoba utk daftar, boro2 daftar lama banget ga masuk2 sampe kesel",1
"kenapa LinkedIn ini bermasalah terus udah bisa bergabung pake Gmail akun google tapi gak bisa reset kata sandi , dah di coba berhari hari sama aja GK ada perubahan berhenti ""melakukan pemeriksaan cepat"" jaringan dah diubah pake Wi-Fi data sama aja, mau akun lama sama baru sama aja , ayo la LinkedIn respon nya",1
bagus,5
"sangat menarik info2 tentang pekerjaan, walaupun saya belum dapat pekerjaan saya selalu mengikuti linkdln",5
"lowongan kerja di Indonesia ternyata banyak sekali cuma yang menyeleksi kandidat nya seperti mau seleksi menjadi Dewa hujan dewa petir dewa matahari, aneh",2
top,5
"Emang lebih enak kalo bisa dibuka lewat HP, biar bisa melihat ada tawaran kerja apa enggak",5
kurang responsif apliaksi nya,1
"error block by CSP mulu..padahal awalnya bisa dipake,tiba2 aja error",1
bagus,5
baik sekali,5
kenapa susah x login ? tolong di respon,1
👍👍,5
"br download, semoga bagus",4
Tolong Perbaikan Bug nya..🙏🏻 bug saat ingin login kembali tapi nge-stuck di bagian loading karena pemeriksaan keamanan cepat.. tolong di perbaiki bug nya🙏🏻🥺🥺 • English : Please fix the bug..🙏🏻 bug when I want to log-in back in but it gets stuck in the loading section because of the fast security check.. please fix the bug🙏🏻🥺🥺,1
pemeriksaan keamanan cepat? LAMAA B4BI,1
"There were many twists and turns that I encountered when I started building a LinkedIn account, but because I never gave up on anything, I managed to find it easy to work, I hardly ever even look for a job myself now. Thankyou LinkedIn the place to build branding and find the world's top jobs.",5
top,5
goood nice,5
Sangat membantu dalam mencari pekerjaan dan membangun relasi. informatif dan bermanfaat.,5
"ga bisa login, aplikasi sepi wajar sih bentar lagi juga gulung tikar",1
sangat2 informatif dan membantu,5
"Akun saya temporarily restricted dan katanya karena ada unknown device mau coba login (padahal itu dr hp/laptop saya yang sudah pernah coba login sebelumnya). Saya sudah mencoba melakukan verifikasi dengan ID sesuai dengan yang diminta oleh proses, tapi entah kenapa selalu gagal. Padahal sudah sesuai dengan yang diminta.",1
